Ligand,Receptor,Pathway Name,TP,TN,FP,FN,Precision,Recall,F1 Score,Distance,Receptor %
Draxin,Ntn4,Pathway 2,28,1486,46,0,0.3783783783783784,1.0,0.5490196078431372,50,0.0
Draxin,Ntn4,Pathway 2,28,1486,46,0,0.3783783783783784,1.0,0.5490196078431372,75,0.0
Draxin,Ntn4,Pathway 2,28,1486,46,0,0.3783783783783784,1.0,0.5490196078431372,100,0.0
Neo1,Ntn1,Pathway 2,500,980,80,0,0.8620689655172413,1.0,0.9259259259259259,25,0.08289709232803483
Neo1,Ntn1,Pathway 2,500,980,80,0,0.8620689655172413,1.0,0.9259259259259259,50,0.08154525523070615
Neo1,Ntn1,Pathway 2,500,980,80,0,0.8620689655172413,1.0,0.9259259259259259,75,0.08399999999999942
Neo1,Ntn1,Pathway 2,500,980,80,0,0.8620689655172413,1.0,0.9259259259259259,100,0.08399999999999942
Neo1,Ntn4,Pathway 2,500,1029,31,0,0.9416195856873822,1.0,0.9699321047526672,25,0.02440352203979403
Neo1,Ntn4,Pathway 2,500,1029,31,0,0.9416195856873822,1.0,0.9699321047526672,50,0.03096141810799421
Neo1,Ntn4,Pathway 2,500,1029,31,0,0.9416195856873822,1.0,0.9699321047526672,75,0.030000000000000245
Neo1,Ntn4,Pathway 2,500,1029,31,0,0.9416195856873822,1.0,0.9699321047526672,100,0.030000000000000245
Unc5a,Ntn1,Pathway 2,19,1421,120,0,0.1366906474820144,1.0,0.24050632911392406,25,0.09822648112121797
Unc5a,Ntn1,Pathway 2,19,1421,120,0,0.1366906474820144,1.0,0.24050632911392406,50,0.10526315789473686
Unc5a,Ntn1,Pathway 2,19,1421,120,0,0.1366906474820144,1.0,0.24050632911392406,75,0.10526315789473686
Unc5a,Ntn1,Pathway 2,19,1421,120,0,0.1366906474820144,1.0,0.24050632911392406,100,0.10526315789473686
Unc5a,Ntn4,Pathway 2,19,1495,46,0,0.2923076923076923,1.0,0.4523809523809524,25,0.0
Unc5a,Ntn4,Pathway 2,19,1495,46,0,0.2923076923076923,1.0,0.4523809523809524,50,0.0
Unc5a,Ntn4,Pathway 2,19,1495,46,0,0.2923076923076923,1.0,0.4523809523809524,75,0.0
Unc5a,Ntn4,Pathway 2,19,1495,46,0,0.2923076923076923,1.0,0.4523809523809524,100,0.0
Unc5b,Ntn1,Pathway 2,351,1115,94,0,0.7887640449438202,1.0,0.8819095477386935,25,0.07945731133337079
Unc5b,Ntn1,Pathway 2,351,1115,94,0,0.7887640449438202,1.0,0.8819095477386935,50,0.07851755194445234
Unc5b,Ntn1,Pathway 2,351,1115,94,0,0.7887640449438202,1.0,0.8819095477386935,75,0.07977207977207909
Unc5b,Ntn1,Pathway 2,351,1115,94,0,0.7887640449438202,1.0,0.8819095477386935,100,0.07977207977207909
Unc5b,Ntn4,Pathway 2,351,1178,31,0,0.918848167539267,1.0,0.9577080491132333,25,0.0408577366544553
Unc5b,Ntn4,Pathway 2,351,1178,31,0,0.918848167539267,1.0,0.9577080491132333,50,0.04330425483795974
Unc5b,Ntn4,Pathway 2,351,1178,31,0,0.918848167539267,1.0,0.9577080491132333,75,0.042735042735042604
Unc5b,Ntn4,Pathway 2,351,1178,31,0,0.918848167539267,1.0,0.9577080491132333,100,0.042735042735042604
Unc5c,Ntn1,Pathway 2,235,1216,109,0,0.6831395348837209,1.0,0.8117443868739205,25,0.056971383424803776
Unc5c,Ntn1,Pathway 2,235,1216,109,0,0.6831395348837209,1.0,0.8117443868739205,50,0.05364897088886824
Unc5c,Ntn1,Pathway 2,235,1216,109,0,0.6831395348837209,1.0,0.8117443868739205,75,0.05531914893617006
Unc5c,Ntn1,Pathway 2,235,1216,109,0,0.6831395348837209,1.0,0.8117443868739205,100,0.05531914893617006
